	Factura N.	Fecha	Código de vendedor	      TotalUS
	       1	37144	              1                1274,55
	       2	37147	              2	               1827
	       3	37154	              3	               6750
	       4	37158	              2	               920,75
	       5	37161	              1	               1789,3
	       6	37165	              1	               4321
	       7	37167	              5	               1754,5
	       8	37179	              3	               913,5
	       9	37187	              1	               616,25
	      10	37193	              5	               112456
	      11	37197	              1	               1247
	      12	37204	              1	               1885
	      13	37209	              4	               12175
	      14	37218	              1	               1750,5
	      15	37222	              2	               1348,5
	      16	37229	              1	               1428,25
	      17	37238	              1	               623,5
	      18	37242	              6	               1595
	      19	37245	              1	               2465
              20        37243                 1                2595
